,source,target,value
240,Amos,Wendell,88
241,Bobbie,Chuck,22
242,Amos,Paula,30
243,Naomi,Wendell,11
244,Amos,Katoa,6
245,Mei,Wendell,16
246,Katoa,Wendell,2
247,Paula,Wendell,23
248,Guthrie,Wendell,9
249,Arjun,Bobbie,22
250,Jim,Paula,3
251,Naomi,Tom,8
252,Amos,Santichai,2
253,Bobbie,Soren,296
254,Foster,Soren,9
255,Bobbie,Foster,16
256,Alex,Mei,38
257,Mei,Miller,1
258,Jim,Santichai,2
259,Bobbie,Naomi,1127
260,Bobbie,Chrisjen,6
261,Bobbie,Michael-Jon,9
262,Alex,Bobbie,2291
263,Amos,Bobbie,1207
264,Bobbie,Cotyar,243
265,Cotyar,Mei,2
266,Katoa,Praxidike,5
267,Alex,Nicola,12
268,Amos,Nicola,10
269,Carlos,Strickland,13
270,Moynahan,Strickland,3
271,Arjun,Charanpal,4
272,Arjun,Ashanti,9
273,Ashanti,Bobbie,3
274,Bobbie,Charanpal,6
275,Bobbie,Nicola,1
276,Bobbie,Richard,3
277,Chrisjen,Michael-Jon,1
278,Arjun,Chrisjen,6
279,Cotyar,Michael-Jon,5
280,Bobbie,Givens,1
281,Cotyar,Givens,1
282,Joseph,Tom,4
283,Anton,Joseph,6
284,Anton,Sophie,6
285,Dimitri,Sophie,5
286,Dimitri,Tamara,6
287,Alex,Tamara,4
288,Chrisjen,Jules-Pierre,3
289,Alex,Praxidike,8
290,Jim,Mei,5
291,Graves,Naomi,1
292,Bobbie,Graves,4
293,Michael-Jon,Nicola,3
294,Bobbie,Strickland,3
295,Amos,Muhan,4
296,Ashford,Naomi,76
297,Ashford,Fred,44
298,Ashford,Michio,22
299,Fred,Michio,14
300,Clarissa,Travin,11
301,Nami,Nono,169
302,Annushka,Nono,6
303,Fred,Serge,5
304,Monica,Okju,49
305,Clip,Okju,52
306,Esteban,Tilly,15
307,Alexi,Ashford,5
308,Alexi,Serge,12
309,Clip,Naomi,3
310,Amos,Monica,95
311,Alex,Okju,13
312,Monica,Naomi,101
313,Clip,Monica,25
314,Alex,Clip,16
315,Naomi,Okju,10
316,Amos,Okju,16
317,Caesar,Okju,3
318,Caesar,Monica,4
319,Amos,Clip,18
320,Miller,Monica,13
321,Alex,Monica,57
322,Jim,Monica,19
323,Clarissa,Julie,43
324,Clarissa,Michael,5
325,Anthea,Michael,12
326,Anthea,Julie,11
327,Nami,Tilly,12
328,Ashford,Serge,52
329,Miller,Serge,2
330,Chris,David,15
331,Nono,Tilly,5
332,Chris,Nami,3
333,Chris,Tilly,3
334,Naomi,Tilly,7
335,Julie,Tilly,5
336,Clarissa,Tilly,56
337,Clarissa,Naomi,320
338,Ashford,Clarissa,91
339,Annushka,Jim,4
340,Alex,Clarissa,258
341,Amos,Clarissa,520
342,Clarissa,Stanni,2
343,Ashford,Monica,44
344,Serge,Tilly,1
345,Ashford,Tilly,13
346,Amos,Ashford,43
347,Ashford,Miller,16
348,Alex,Ashford,5
349,Monica,Tilly,21
350,Chris,Monica,13
351,Monica,Nono,1
352,Amos,Tilly,5
353,Amos,Nami,4
354,Alex,Nami,5
355,Ashford,Juarez,19
356,Anamarie,Naomi,4
357,Juarez,Naomi,61
358,Cass,Juarez,89
359,Ashford,Okju,10
360,Juarez,Monica,8
361,Amos,Chris,4
362,Clarissa,Monica,2
363,Cass,Naomi,34
364,Ashford,Cass,8
365,Amos,Stanni,2
366,Bobbie,Merton,5
367,Coop,Lucia,26
368,Katoa,Lucia,16
369,Felcia,Jacek,27
370,Jacek,Katoa,17
371,Felcia,Lucia,55
372,Elvi,Fayez,487
373,Elvi,Trying,4
374,Elvi,Eric,3
375,Eric,Fayez,19
376,Elvi,Merton,21
377,Fayez,Merton,3
378,Eric,Sophie,10
379,Fayez,Trying,4
380,Amos,Coop,19
381,Jacek,Lucia,90
382,Carol,Lucia,12
383,Carol,Coop,31
384,Merton,Trying,6
385,Elvi,Felcia,43
386,Amos,Kasim,1
387,Felcia,Miller,1
388,Fayez,Felcia,49
389,Coop,Jacek,7
390,Katoa,Strickland,8
391,Annamarie,Katoa,6
392,Annamarie,Mei,6
393,Coop,Katoa,12
394,Carol,Jacek,7
395,Felcia,Merton,8
396,Carol,Fayez,4
397,Amos,Carol,41
398,Carol,Miller,6
399,Katoa,Merton,3
400,Carol,Merton,5
401,Amos,Trying,2
402,Elvi,Lucia,186
403,Amos,Lucia,22
404,Amos,Elvi,204
405,Fayez,Lucia,64
406,Lucia,Merton,9
407,Amos,Fayez,118
408,Coop,Naomi,1
409,Elvi,Jacek,22
410,Amos,Jacek,27
411,Alex,Jacek,17
412,Alex,Coop,5
413,Alex,Talissa,30
414,Jason,Lucia,2
415,Elvi,Jason,5
416,Alex,Felcia,39
417,Felcia,Katoa,5
418,Alex,Lucia,11
419,Jim,Lucia,3
420,Carol,Elvi,12
421,Elvi,Jim,202
422,Fayez,Jim,78
423,Jacek,Naomi,5
424,Elvi,Miller,70
425,Amos,Chandra,11
426,Alex,Trying,4
427,Dimitri,Naomi,17
428,Alex,Merton,4
429,Carol,Naomi,6
430,Filip,Miral,53
431,Aaman,Miral,27
432,Aaman,Andrew,2
433,Aaman,Josie,11
434,Filip,Josie,21
435,Andrew,Filip,5
436,Andrew,Josie,2
437,Andrew,Miral,1
438,Amos,Talissa,4
439,Amos,Lydia,102
440,Jianguo,Rico,29
441,Jianguo,Wendy,16
442,Amos,Wendy,14
443,Amos,Rico,57
444,Rico,Wendy,15
445,Amos,Jianguo,19
446,Fred,Monica,132
447,Charles,Lydia,39
448,Amos,Charles,62
449,Cyn,Karal,11
450,Alex,Erich,7
451,Bobbie,Talissa,5
452,Clarissa,Jules-Pierre,6
453,Amos,Jules-Pierre,6
454,Fred,Paula,7
455,Monica,Paula,4
456,Bobbie,Fred,94
457,Filip,Naomi,29
458,Alex,Ben,13
459,Ben,Bobbie,17
460,Ben,David,5
461,Fred,James,4
462,Alex,Fermín,47
463,Alex,Long,2
464,Fermín,Long,5
